site_id,name,country_iso2,eq_level,fl_level,division_code,division,match_confidence
1544,Historic City of Yazd,IR,MED,NDA,41137,Islamic Republic of Iran / Yazd / Yazd,adm2
1563,"Al-Ahsa Oasis, an Evolving Cultural Landscape",SA,MED,MED,215,Saudi Arabia,country
1565,Hebron/Al-Khalil Old Town,PS,LOW,VLO,3394,West Bank and Gaza / Al Khalil (Hebron),override
1568,Sassanid Archaeological Landscape of Fars Region,IR,MED,LOW,40955,Islamic Republic of Iran / Fars / Firuzabad,adm2
1584,Hyrcanian Forests,IR,MED,MED,41093,Islamic Republic of Iran / Mazandaran / Sari,adm2
1585,Trans-Iranian Railway,IR,MED,VLO,41130,Islamic Republic of Iran / Tehran / Tehran,adm2
1619,Ḥimā Cultural Area,SA,VLO,LOW,2630,Saudi Arabia / Najran,adm1
1647,Cultural Landscape of Hawraman/Uramanat,IR,MED,VLO,40980,Islamic Republic of Iran / Kermanshah / Javanrud,adm2
1668,The Persian Caravanserai,IR,HIG,LOW,1548,Islamic Republic of Iran / Hormozgan,adm1
1687,Ancient Jericho/Tell es-Sultan,PS,LOW,MED,3396,West Bank and Gaza / Ariha (Jericho),override
1699,‘Uruq Bani Ma’arid,SA,MED,MED,215,Saudi Arabia,country
1700,"Landmarks of the Ancient Kingdom of Saba, Marib",YE,VLO,MED,145031,Republic of Yemen / Marib / Marib,adm2
1702,Rachid Karami International Fair-Tripoli,LB,NDA,VLO,18802,Lebanon / North / Tripoli,adm2
1712,The Cultural Landscape of Al-Faw Archaeological Area,SA,MED,MED,215,Saudi Arabia,country
1716,Hegmataneh,IR,MED,MED,40971,Islamic Republic of Iran / Hamedan / Hamedan,adm2
1721,Umm Al-Jimāl,JO,LOW,LOW,1711,Jordan / Mafraq,adm1
1735,Faya Palaeolandscape,AE,MED,MED,255,United Arab Emirates,country
1744,Prehistoric Sites of the Khorramabad Valley,IR,HIG,VLO,41001,Islamic Republic of Iran / Lorestan / Khorramabad,adm2
1749,Saint Hilarion Monastery/ Tell Umm Amer,PS,VLO,LOW,1291,West Bank and Gaza / Deir al Balah,override
